title,author,length
MeatEater's Campfire Stories: Narrow Escapes & More Close Calls,"Steven Rinella,Clay Newcomb,Vince Merritt,Allen Jone,Kimi Werner,Roy Getson,Casey Frank,Cory Holloway,Cameron Kirkconnell,Bruce Batten,Vic Barnes",Length: 5 hrs and 4 mins
Spiritual Leadership,J. Oswald Sanders,Length: 5 hrs
Monsters and How to Tame Them,Kevin Hart,Length: 5 hrs and 37 mins
Capital Justice,James Chandler,Length: 10 hrs and 38 mins
Echoes of Eternity,Aaron Dembski-Bowden,Length: 15 hrs and 50 mins
The Psychology of Totalitarianism,Mattias Desmet,Length: 7 hrs and 53 mins
Drunk on Love,Jasmine Guillory,Length: 11 hrs and 15 mins
Fairy Tale,Stephen King,Length: 24 hrs and 6 mins
Portal to Nova Roma,J.R. Mathews,Length: 22 hrs and 3 mins
God of Pain,Rina Kent,Length: 13 hrs and 18 mins
American Oligarch,Franklin Horton,Length: 9 hrs and 29 mins
True North,"Bill George,Zach Clayton",Length: 9 hrs and 1 min
Next Door Dragon Daddy,Roxie Ray,Length: 11 hrs and 20 mins
Prophetic Forecast,Joshua Giles,Length: 7 hrs and 17 mins
The Return,Dick Morris,Length: 6 hrs and 47 mins
A Fearful Symmetry,Olan Thorensen,Length: Not Yet Known
No Reason to Hide,Erwin W. Lutzer,Length: 9 hrs and 10 mins
Catch Her Death,Wendy Dranfield,Length: 9 hrs and 13 mins
Wonderland,Miranda Renae,Length: 7 hrs and 29 mins
When He's Ruthless,Suzanne Wright,Length: 11 hrs and 46 mins
Daisy Darker,Alice Feeney,Length: 10 hrs and 54 mins
Tribes of Kragdon-ah,Shawn Inmon,Length: 9 hrs and 35 mins
Dungeon Walkers 3,Daniel Schinhofen,Length: 11 hrs and 40 mins
Blowback,"James Patterson,Brendan DuBois",Length: 12 hrs and 50 mins
Malicious Midpoint,Alice Winters,Length: 7 hrs and 4 mins
Only Bad Options,Jennifer Estep,Length: 12 hrs and 35 mins
Getting Along,Amy Gallo,Length: 7 hrs and 44 mins
Getting Along,Amy Gallo,Length: 7 hrs and 44 mins
Mad Man,Onley James,Length: 7 hrs and 52 mins
The Lost Metal,Brandon Sanderson,Length: Not Yet Known
"Endless Referrals, Third Edition",Bob Burg,Length: 11 hrs and 30 mins
Psycho Fae,Jasmine Mas,Length: 12 hrs and 2 mins
The Lies I Tell,Julie Clark,Length: 9 hrs and 12 mins
Tongue Eater,John Bierce,Length: 20 hrs and 2 mins
The Boys from Biloxi,John Grisham,Length: 17 hrs and 22 mins
Dünkirchen 1940,Robert Kershaw,Length: 15 hrs and 28 mins
Meet Me There,K.M. Neuhold,Length: 7 hrs and 9 mins
The Babylon Bee Guide to Democracy,Babylon Bee,Length: 4 hrs and 21 mins
Too Mulch to Handle,H.Y. Hanna,Length: 7 hrs and 12 mins
Noble Roots,Drew Hayes,Length: 23 hrs and 36 mins
A Good Dog's Guide to Murder,Krista Davis,Length: 8 hrs
Lovely Bad Things,Trisha Wolfe,Length: 7 hrs and 19 mins
Barbarian Chef,Austin Beck,Length: 6 hrs and 7 mins
I'm Glad My Mom Died,Jennette McCurdy,Length: 6 hrs and 50 mins
Storm of Iron,Graham McNeill,Length: 11 hrs and 3 mins
Capital Justice,James Chandler,Length: 10 hrs and 38 mins
Somebody to Cherish,April Wilson,Length: 6 hrs and 30 mins
Honor of the Witch,Deanna Chase,Length: 5 hrs and 44 mins
What If? 2,Randall Munroe,Length: 6 hrs and 35 mins
Mother of Learning Arc 3,"nobody103,Domagoj Kurmaic",Length: 27 hrs and 12 mins
The Burning Hollow,Ryan Schow,Length: 10 hrs and 39 mins
King of Battle and Blood,Scarlett St. Clair,Length: 12 hrs and 26 mins
The Obesity Fix,"James DiNicolantonio,Siim Land",Length: 6 hrs and 53 mins
The 6 Phase Meditation Method,Vishen Lakhiani,Length: 5 hrs and 26 mins
The Power of Mind,Khentrul Lodrö T'hayé,Length: 9 hrs and 14 mins
The Exorcist's House,Nick Roberts,Length: 9 hrs and 11 mins
Burner,Mark Greaney,Length: Not Yet Known
More Heat than the Sun Box Set: Vol 1,John Wiltshire,Length: 27 hrs and 53 mins
The High Sierra,Kim Stanley Robinson,Length: 16 hrs and 30 mins
Lost in Time,A.G. Riddle,Length: 11 hrs and 28 mins
Frozen Time,Jonathan Brooks,Length: 13 hrs and 9 mins
Hell and Back,Craig Johnson,Length: 9 hrs and 39 mins
Codependent No More,Melody Beattie,Length: 8 hrs and 42 mins
The 6:20 Man,David Baldacci,Length: 11 hrs and 48 mins
American Psychosis,David Corn,Length: 17 hrs and 32 mins
Cenotaph of Bones,Michael Head,Length: 9 hrs and 18 mins
She Memes Well,Quinta Brunson,Length: 8 hrs and 38 mins
Dragon's Justice 4,Bruce Sentar,Length: 10 hrs and 36 mins
I Am God's Dagger,K.A. Merikan,Length: 8 hrs and 3 mins
To Kill a Mockingbird,Harper Lee,Length: 12 hrs and 17 mins
We Are Proud Boys,Andy B. Campbell,Length: 8 hrs and 28 mins
Court of the Vampire Queen,Katee Robert,Length: 15 hrs and 43 mins
Legends & Lattes,Travis Baldree,Length: 6 hrs and 22 mins
Oath of Loyalty,"Vince Flynn,Kyle Mills",Length: 9 hrs and 23 mins
Danger Zone,"Hal Brands,Michael Beckley",Length: 8 hrs and 26 mins
You Owe You,"Eric Thomas,Chris Paul - foreword",Length: 7 hrs and 54 mins
Garden of Serpents,C.N. Crawford,Length: 7 hrs and 57 mins
How to Lose Weight for the Last Time,Katrina Ubell,Length: 8 hrs and 17 mins
The Ballers and Babes Collection,Lauren Blakely,Length: 20 hrs and 22 mins
Empress of Dorsa,Eliza Andrews,Length: 26 hrs and 38 mins
Mr. Romance,Louisa Masters,Length: 7 hrs and 7 mins
How to Inhabit Time,James K. A. Smith,Length: 6 hrs and 11 mins
The Mystery of Montague Morgan,Karen Baugh Menuhin,Length: 8 hrs and 24 mins
"Conversations with the Z’s, Book One",Lee Harris,Length: 3 hrs and 32 mins
The Big Fraud,Troy E. Nehls,Length: 8 hrs and 14 mins
Meet Me Halfway,Lilian T. James,Length: 9 hrs and 34 mins
Wayward,Alice Greczyn,Length: 10 hrs and 45 mins
Russia,Antony Beevor,Length: 21 hrs and 55 mins
México en el precipicio,Macario Schettino,Length: 4 hrs and 42 mins
The Atheist Handbook to the Old Testament: Volume 2,Joshua Bowen,Length: 14 hrs and 39 mins
Desperation in Death,J. D. Robb,Length: 13 hrs and 11 mins
The Housemaid,Freida McFadden,Length: 9 hrs and 41 mins
Marriage Be Hard,"Kevin Fredericks,Melissa Fredericks",Length: 6 hrs and 10 mins
On a Quiet Street,Seraphina Nova Glass,Length: 11 hrs and 21 mins
Dinners with Ruth,Nina Totenberg,Length: 9 hrs and 30 mins
Lessons,Ian McEwan,Length: 17 hrs and 33 mins
The Hollow King,John French,Length: 10 hrs and 33 mins
Lilac,B.B. Reid,Length: 18 hrs and 15 mins
Captive,Iris Johansen,Length: 9 hrs and 34 mins
Legend of the Arch Magus: Publisher's Pack 4,Michael Sisa,Length: 11 hrs and 12 mins
Super Sales on Super Heroes 4,William D. Arand,Length: Not Yet Known
Serendipity,Kris Bryant,Length: 8 hrs and 28 mins
Like a Rolling Stone,Jann S. Wenner,Length: 17 hrs and 37 mins
Traction,Gino Wickman,Length: 6 hrs and 56 mins
Essentialism,Greg McKeown,Length: 6 hrs and 14 mins
The Magic of Thinking Big,David Schwartz,Length: 9 hrs and 31 mins
Meme Wars,"Joan Donovan,Emily Dreyfuss,Brian Friedberg",Length: 14 hrs and 6 mins
Children of Time,Adrian Tchaikovsky,Length: 16 hrs and 31 mins
The Five Dysfunctions of a Team,Patrick Lencioni,Length: 3 hrs and 42 mins
A Gentleman in Moscow,Amor Towles,Length: 17 hrs and 52 mins
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich (Expanded and Updated)",Timothy Ferriss,Length: 13 hrs and 1 min
